filename,run_type,nmr,current,polarity
2022-05-26 100634.txt,val,low,128.0,pos
2022-05-26 102836.txt,val,high,128.0,pos
2022-05-26 113036.txt,prod,low,42.0,pos
2022-05-26 121828.txt,prod,low,56.0,pos
2022-05-26 123926.txt,prod,low,80.0,pos
2022-05-26 130630.txt,val,low,80.0,pos
2022-05-26 133558.txt,val,low,80.0,pos
2022-05-26 140638.txt,prod,low,104.0,pos
2022-05-26 144217.txt,val,low,128.0,pos
2022-05-26 150239.txt,prod,high,128.0,pos
2022-05-26 153353.txt,prod,high,144.0,pos
2022-05-26 160409.txt,prod,high,160.0,pos
2022-05-26 163243.txt,prod,high,176.0,pos
2022-05-26 170057.txt,prod,high,192.0,pos
2022-05-26 173002.txt,prod,high,208.0,pos
2022-05-26 175911.txt,prod,high,224.0,pos
2022-05-26 182815.txt,prod,high,240.0,pos
2022-05-26 190126.txt,prod,high,256.0,pos
2022-05-26 193002.txt,prod,high,272.0,pos
2022-05-26 200005.txt,prod,high,288.0,pos
2022-05-27 080822.txt,val,high,288.0,pos
2022-05-27 083743.txt,prod,high,300.0,pos
2022-05-27 090821.txt,val,high,300.0,neg
2022-05-27 094135.txt,val,low,42.0,pos
2022-05-27 101134.txt,val,low,42.0,neg
2022-05-27 103216.txt,val,low,42.0,neg
2022-05-27 105803.txt,val,low,42.0,pos
2022-05-27 111726.txt,val,low,42.0,pos
2022-05-27 123838.txt,val,low,42.0,pos
2022-05-27 125726.txt,val,low,42.0,pos
2022-05-27 132405.txt,val,low,42.0,neg
2022-05-27 140740.txt,val,high,272.0,pos
2022-05-27 162535.txt,val,high,272.0,pos
2022-05-27 171220.txt,val,high,272.0,pos
2022-05-27 180522.txt,val,high,272.0,pos
2022-05-28 165647.txt,val,high,272.0,pos
2022-06-01 101917.txt,val,low,56.0,pos
2022-06-01 124915.txt,val,low,80.0,pos
2022-06-01 131552.txt,val,low,104.0,pos
2022-06-01 142807.txt,val,low,42.0,pos
2022-06-03 141648.txt,val,low,42.0,pos
2022-06-06 115947.txt,val,low,42.0,pos
2022-06-06 145901.txt,val,low,56.0,pos
2022-06-07 095924.txt,val,low,56.0,pos
2022-06-07 173843.txt,val,high,272.0,pos
2022-06-08 135518.txt,val,high,176.0,pos
2022-07-06 081803.txt,val,low,128.0,pos
