filename,run_type,expected_field,polarity,chiller_temp_F
2025-04-16 161436.txt,test,0.75,pos,40.0
2025-04-17 110915.txt,prod,0.75,pos,40.0
2025-04-17 135437.txt,prod,0.75,pos,40.0
2025-04-17 163125.txt,prod,0.75,pos,40.0
2025-04-17 221013.txt,prod,0.75,pos,40.0
2025-04-18 004731.txt,prod,0.75,pos,40.0
2025-04-18 110400.txt,val,0.75,pos,40.0
2025-04-18 150308.txt,test,0.75,pos,40.0
2025-04-21 111443.txt,prod,0.91,pos,55.0
2025-04-22 120255.txt,val,0.91,pos,55.0
2025-04-22 172233.txt,test,0.98,pos,55.0
2025-04-23 012221.txt,prod,0.98,pos,55.0
2025-04-23 181230.txt,prod,1.11,pos,55.0
2025-04-24 165010.txt,prod,1.21,pos,40.0
2025-04-26 212116.txt,val,1.21,pos,40.0
2025-04-28 132340.txt,prod,1.31,pos,40.0
2025-04-29 095241.txt,prod,1.31,neg,40.0
2025-04-30 094727.txt,prod,1.21,neg,40.0
2025-05-01 163047.txt,prod,1.11,neg,40.0
2025-05-02 141516.txt,prod,0.98,neg,55.0
2025-05-03 215505.txt,val,0.98,neg,55.0
2025-05-05 102821.txt,prod,0.91,neg,55.0
2025-05-06 123746.txt,prod,0.75,neg,55.0
2025-05-11 103842.txt,prod,0.61,pos,66.0
2025-05-12 173045.txt,prod,0.46,pos,66.0
2025-05-13 095342.txt,prod,0.31,pos,66.0
2025-05-14 103326.txt,prod,0.61,neg,66.0
2025-05-15 101738.txt,prod,0.46,neg,66.0
2025-05-16 101038.txt,prod,0.31,neg,66.0
2025-05-20 165814.txt,test,0.75,pos,55.0
